Errors for Brill Tagger None

             left context |    word/test->gold     | right context
NNP ,/, a/DT Writers/NNPS |     Guild/NN->NNP      | member/NN ,/, also/RB was
/IN a/DT writer/NN for/IN |   Darkhorse/NN->NNP    | ,/, which/WDT *T*-134/-NO
rkhorse/NNP ,/, which/WDT |   *T*-134/NN->-NONE-   | was/VBD covered/VBN *-2/-
NONE- by/IN a/DT guild/NN | collective-bargaining/VBG->JJ | agreement/NN ./.
P$ lawsuit/NN ,/, Mr./NNP |    Trudeau/NN->NNP     | says/VBZ 0/-NONE- the/DT 
illegally/RB included/VBD |   Darkhorse/NN->NNP    | ,/, and/CC the/DT cartoon
d/CC the/DT cartoonist/NN |    refused/VBN->VBD    | *-1/-NONE- to/TO honor/VB
 He/PRP said/VBD 0/-NONE- |  disciplinary/NN->JJ   | proceedings/NNS are/VBP c
J proceedings/NNS are/VBP |  confidential/NN->JJ   | and/CC declined/VBD *-1/-
-NONE- against/IN Mr./NNP |    Trudeau/NN->NNP     | ./.
                  Mr./NNP |    Trudeau/NN->NNP     | 's/POS attorney/NN ,/, No
ttorney/NN ,/, Norman/NNP |       K./NN->NNP       | Samnick/NNP ,/, said/VBD 
/NN ,/, Norman/NNP K./NNP |    Samnick/NN->NNP     | ,/, said/VBD 0/-NONE- the
ONE- the/DT harassment/NN |   consists/NNS->VBZ    | mainly/RB of/IN the/DT gu
IN the/DT guild/NN 's/POS |    year-long/NN->JJ    | threats/NNS of/IN discipl
long/JJ threats/NNS of/IN |  disciplinary/NN->JJ   | action/NN ./.
                  Mr./NNP |    Samnick/NN->NNP     | said/VBD 0/-NONE- a/DT gu
BD 0/-NONE- a/DT guild/NN |  disciplinary/NN->JJ   | hearing/NN is/VBZ schedul
 scheduled/VBN *-1/-NONE- |      next/JJ->IN       | Monday/NNP in/IN New/NNP 
                  Mr./NNP |    Samnick/NN->NNP     | ,/, who/WP *T*-135/-NONE-
NP Samnick/NNP ,/, who/WP |   *T*-135/NN->-NONE-   | will/MD go/VB before/IN t
MD go/VB before/IN the/DT |  disciplinary/NN->JJ   | panel/NN ,/, said/VBD 0/-
T guild/NN would/MD be/VB |  unjustified/VBN->JJ   | ./.
es/NNS ,/, the/DT suit/NN |     seeks/NNS->VBZ     | a/DT court/NN order/NN pr
IN *RNR*-1/-NONE- Mr./NNP |    Trudeau/NN->NNP     | ./.
    ABORTION/NN RULING/NN |     UPHELD/NN->VBN     | *-1/-NONE- :/:
deral/JJ funds/NNS for/IN | family-planning/VBG->JJ | programs/NNS that/WDT *T*
-planning/JJ programs/NNS |      that/IN->WDT      | *T*-1/-NONE- include/VBP 
NNS that/WDT *T*-1/-NONE- |    include/VB->VBP     | abortion-related/JJ servi
 *T*-1/-NONE- include/VBP | abortion-related/VBD->JJ | services/NNS ./.
P of/IN Health/NNP and/CC |     Human/NN->NNP      | Services/NNPS rule/NN ado
alth/NNP and/CC Human/NNP |   Services/NNS->NNPS   | rule/NN adopted/VBN */-NO
C Human/NNP Services/NNPS |      rule/VBP->NN      | adopted/VBN */-NONE- in/I
BN */-NONE- in/IN 1988/CD |   prohibits/NNS->VBZ   | the/DT use/NN of/IN so-ca
/IN so-called/JJ Title/NN |       X/NN->NNP        | funds/NNS for/IN programs
s/NNS for/IN programs/NNS |      that/IN->WDT      | *T*-136/-NONE- assist/VBP
/IN programs/NNS that/WDT |   *T*-136/NN->-NONE-   | assist/VBP a/DT woman/NN 
S that/WDT *T*-136/-NONE- |     assist/NN->VBP     | a/DT woman/NN in/IN *-1/-
such/JJ as/IN abortion/NN |   counseling/VBG->NN   | and/CC referrals/NNS ./.
   The/DT rule/NN also/RB |   prohibits/NNS->VBZ   | funding/NN for/IN activit
/NN for/IN activities/NNS |      that/IN->WDT      | ``/`` *T*-137/-NONE- enco
vities/NNS that/WDT ``/`` |   *T*-137/NN->-NONE-   | encourage/VBP ,/, promote
/WDT ``/`` *T*-137/-NONE- |   encourage/VB->VBP    | ,/, promote/VBP or/CC adv
/-NONE- encourage/VBP ,/, |    promote/NN->VBP     | or/CC advocate/VBP aborti
VBP ,/, promote/VBP or/CC |    advocate/NN->VBP    | abortion/NN ./. ''/''
                 Title/NN |       X/NN->NNP        | funds/NNS are/VBP the/DT 
eral/JJ funding/NN for/IN | family-planning/VBG->JJ | services/NNS ,/, accordin
T opinion/NN by/IN the/DT |     Second/JJ->NNP     | U.S./NNP Circuit/NNP Cour
rcuit/NNP Court/NNP of/IN |   Appeals/NNS->NNPS    | in/IN New/NNP York/NNP ./
ictions/NNS do/VBP n't/RB |     violate/NN->VB     | the/DT freedom/NN of/IN s
N the/DT limits/NNS on/IN |   counseling/VBG->NN   | services/NNS do/VBP n't/R
ervices/NNS do/VBP n't/RB |     violate/NN->VB     | the/DT rights/NNS of/IN p
B the/DT rights/NNS of/IN |    pregnant/NN->JJ     | women/NNS ./.
               INQUIRY/NN |     CLEARS/NN->VBZ     | TEXAS/NNP JUDGE/NN of/IN 
    INQUIRY/NN CLEARS/VBZ |     TEXAS/NN->NNP      | JUDGE/NN of/IN bias/NN in
 TEXAS/NNP JUDGE/NN of/IN |      bias/NNS->NN      | in/IN comments/NNS on/IN 
 in/IN comments/NNS on/IN |   homosexual/NN->JJ    | murder/NN victims/NNS ./.
                          |    Dallas/NNS->NNP     | District/NNP Judge/NNP Ja
               Dallas/NNP |    District/NN->NNP    | Judge/NNP Jack/NNP Hampto
NP District/NNP Judge/NNP |      Jack/NN->NNP      | Hampton/NNP had/VBD spark
ct/NNP Judge/NNP Jack/NNP |    Hampton/NN->NNP     | had/VBD sparked/VBN calls
n/NNP had/VBD sparked/VBN |     calls/VBZ->NNS     | for/IN a/DT judicial/JJ i
VBN calls/NNS for/IN a/DT |    judicial/NN->JJ     | inquiry/NN with/IN his/PR
O the/DT press/NN last/JJ |    December/NN->NNP    | ,/, two/CD weeks/NNS afte
ONE- sentencing/VBG an/DT |   18-year-old/NN->JJ   | defendant/NN to/TO 30/CD 
-NONE- killing/VBG two/CD |   homosexual/NN->JJ    | men/NNS in/IN a/DT city/N
/-NONE- picking/VBG up/RP |     teenage/NN->JJ     | boys/NNS ./. ''/''
 But/CC Robert/NNP R./NNP |     Murray/NN->NNP     | ,/, a/DT special/JJ maste
id/VBD 0/-NONE- Judge/NNP |    Hampton/NN->NNP     | did/VBD n't/RB breach/VB 
D n't/RB breach/VB any/DT |    judicial/NN->JJ     | standards/NNS of/IN fairn
lthough/IN he/PRP did/VBD |     violate/NN->VB     | the/DT state/NN 's/POS ju
VB the/DT state/NN 's/POS |    judicial/NN->JJ     | code/NN by/IN *-1/-NONE- 
NN ``/`` has/VBZ never/RB |   exhibited/VBD->VBN   | any/DT bias/NN or/CC prej
r/RB exhibited/VBN any/DT |      bias/NNS->NN      | or/CC prejudice/NN ,/, ''
dice/NN ,/, ''/'' Mr./NNP |     Murray/NN->NNP     | concluded/VBD that/IN he/
/PRP ``/`` would/MD be/VB |    impartial/NN->JJ    | in/IN any/DT case/NN invo
                  Mr./NNP |     Murray/NN->NNP     | also/RB said/VBD 0/-NONE-
id/VBD 0/-NONE- Judge/NNP |    Hampton/NN->NNP     | 's/POS comments/NNS did/V
mments/NNS did/VBD n't/RB |    discredit/NN->VB    | the/DT judiciary/NN or/CC
N is/VBZ subject/JJ to/TO |     review/NN->VB      | by/IN the/DT State/NNP Co
/NNP Commission/NNP on/IN |    Judicial/NN->NNP    | Conduct/NNP ,/, which/WDT
on/NNP on/IN Judicial/NNP |    Conduct/NN->NNP     | ,/, which/WDT *T*-138/-NO
Conduct/NNP ,/, which/WDT |   *T*-138/NN->-NONE-   | is/VBZ empowered/VBN *-1/
                          |      GAF/NN->NNP       | TRIAL/NN goes/VBZ to/TO r
NNS in/IN the/DT third/JJ | stock-manipulation/NN->JJ | trial/NN of/IN GAF/NNP Co
ulation/JJ trial/NN of/IN |      GAF/NN->NNP       | Corp./NNP began/VBD openi
yesterday/NN in/IN the/DT |   Manhattan/NN->NNP    | courtroom/NN of/IN U.S./N
urtroom/NN of/IN U.S./NNP |    District/NN->NNP    | Judge/NNP Mary/NNP Johnso
/NNP Mary/NNP Johnson/NNP |      Lowe/NN->NNP      | ./.
              In/IN an/DT |   eight-count/NN->JJ   | indictment/NN ,/, the/DT 
nt/NN has/VBZ charged/VBN |      GAF/NN->NNP       | ,/, a/DT Wayne/NNP ,/, N.
rged/VBN GAF/NNP ,/, a/DT |     Wayne/NN->NNP      | ,/, N.J./NNP ,/, specialt
NP ,/, a/DT Wayne/NNP ,/, |      N.J./NN->NNP      | ,/, specialty/NN chemical
er/NN ,/, and/CC its/PRP$ |      Vice/NN->NNP      | Chairman/NNP James/NNP T.
 and/CC its/PRP$ Vice/NNP |    Chairman/NN->NNP    | James/NNP T./NNP Sherwin/
rman/NNP James/NNP T./NNP |    Sherwin/NN->NNP     | with/IN *-2/-NONE- attemp
 stock/NN of/IN Union/NNP |    Carbide/NN->NNP     | Corp./NNP in/IN advance/N
NP in/IN advance/NN of/IN |      GAF/NN->NNP       | 's/POS planned/JJ sale/NN
e/NN of/IN GAF/NNP 's/POS |    planned/VBN->JJ     | sale/NN of/IN a/DT large/
le/NN of/IN a/DT large/JJ |      block/VB->NN      | of/IN the/DT stock/NN in/
   The/DT first/JJ two/CD |      GAF/NN->NNP       | trials/NNS ended/VBD in/I
d/VBD in/IN mistrials/NNS |    earlier/JJR->RBR    | this/DT year/NN ./.
cted/VBN *-1/-NONE- to/TO |      last/JJ->VB       | five/CD weeks/NNS ./.
                 */-NONE- |   SWITCHING/NN->VBG    | TO/TO THE/DT DEFENSE/NN :
   */-NONE- SWITCHING/VBG |       TO/NN->TO        | THE/DT DEFENSE/NN :/:
NONE- SWITCHING/VBG TO/TO |       THE/NN->DT       | DEFENSE/NN :/:
n/NN team/NN in/IN the/DT |  Iran\/Contra/NN->NNP  | affair/NN joined/VBD the/
Chicago/NNP firm/NN of/IN |     Mayer/NN->NNP      | ,/, Brown/NNP &/CC Platt/
rm/NN of/IN Mayer/NNP ,/, |     Brown/NN->NNP      | &/CC Platt/NNP ./.
       Michael/NNP R./NNP |    Bromwich/NN->NNP    | ,/, a/DT member/NN since/
/NNP 1987/CD of/IN the/DT |  three-lawyer/NN->JJ   | trial/NN team/NN in/IN th
e/DT prosecution/NN of/IN |     Oliver/NN->NNP     | North/NNP ,/, became/VBD 
ution/NN of/IN Oliver/NNP |     North/NN->NNP      | ,/, became/VBD a/DT partn
the/DT Washington/NNP ,/, |      D.C./NN->NNP      | ,/, office/NN of/IN the/D
/, office/NN of/IN the/DT |   520-lawyer/NN->JJ    | firm/NN ./.
ll/MD specialize/VB in/IN |  white-collar/NN->JJ   | criminal/NN defense/NN wo
                  Mr./NNP |    Bromwich/NN->NNP    | ,/, 35/CD ,/, also/RB has
or/IN the/DT Southern/NNP |    District/NN->NNP    | of/IN New/NNP York/NNP ,/
 based/VBN */-NONE- in/IN |   Manhattan/NN->NNP    | ./.
                          |     Cooper/NN->NNP     | Tire/NNP &/SYM Rubber/NNP
               Cooper/NNP |      Tire/NN->NNP      | &/SYM Rubber/NNP Co./NNP 
      Cooper/NNP Tire/NNP |       &/CC->SYM        | Rubber/NNP Co./NNP said/V
Cooper/NNP Tire/NNP &/SYM |     Rubber/NN->NNP     | Co./NNP said/VBD 0/-NONE-
y/VB buildings/NNS and/CC |    related/VBN->JJ     | property/NN in/IN Albany/
ated/JJ property/NN in/IN |     Albany/NN->NNP     | ,/, Ga./NNP ,/, from/IN B
y/NN in/IN Albany/NNP ,/, |      Ga./NN->NNP       | ,/, from/IN Bridgestone\/
P ,/, Ga./NNP ,/, from/IN | Bridgestone\/Firestone/NN->NNP | Inc/NNP ./.
ridgestone\/Firestone/NNP |      Inc/NN->NNP       | ./.
Terms/NNS were/VBD n't/RB |   disclosed/VBD->VBN   | *-1/-NONE- ./.
ONE- the/DT buildings/NNS |    consist/NN->VBP     | of/IN 1.8/CD million/CD s
P of/IN 1.8/CD million/CD |     square/NN->JJ      | feet/NNS of/IN office/NN 
8/CD million/CD square/JJ |      feet/NN->NNS      | of/IN office/NN ,/, manuf
, manufacturing/NN and/CC |  warehousing/VBG->NN   | space/NN on/IN 353/CD acr
ook/VBD the/DT unusual/JJ |      step/VB->NN       | of/IN */-NONE- publicly/R
/NNS of/IN just/RB one/CD |      yen/NNS->NN       | for/IN several/JJ local/J
 ,/, while/IN computer/NN |      rival/JJ->NN      | NEC/NNP Corp./NNP made/VB
